Column1;Column2;Column3
Backend Developer;24;35295292
Business Analyst;21;31238095
DevOps Engineer;11;44419000
Frontend Developer;12;34120833
Fullstack Developer;11;33332727
Mobile Application Developer;3;30033333
Other;289;43906268
Project Manager;11;58381818
