Column1;Column2
TestComplete;1
TestNG;2
TestRail;1
Tester;93
Trello;2
Truffle;1
TypeScript;104
Typography;1
UI Design;3
UI-UX;40
UI/UX;2
UML;3
UX Design;2
UX/UI Design;7
Ui5;1
Unit test;8
Unity;19
Unix;3
Unreal Engine;1
Usability testing;3
User diagram;1
User story;2
VHDL;1
VMware;5
Verilog;1
Visual Design;2
Vmware;4
VueJS;36
Vuex;1
Vulnerability Assessment;1
Vulnerability Management;2
WCF;1
WPF;5
Waterfall Methodology;8
Web;2
Web API;5
Web Application;1
Web Application Firewall;1
Web Design;1
Web Tester;1
Web3.js;5
Websocket;1
White box testing;3
WinForms;3
Windows;5
Windows Server;5
Winform;1
Wireframing;3
Wireshark;1
WooCommerce;2
WordPress;1
Wordpress;8
XML;2
Zeplin;1
audit;1
iOS;33
macOS;2
pytest;1
scikit-learn;1
xCode;1
